iter	Passed	Remaining
0	3	317
1	5	253
2	7	241
3	9	228
4	11	219
5	13	208
6	15	199
7	16	192
8	18	186
9	20	181
10	22	180
11	23	175
12	25	171
13	27	167
14	28	163
15	30	159
16	31	155
17	33	151
18	34	148
19	36	146
20	38	144
21	40	142
22	41	139
23	43	137
24	44	134
25	46	132
26	48	130
27	49	127
28	51	125
29	53	123
30	54	121
31	56	119
32	57	117
33	59	115
34	60	113
35	62	111
36	64	109
37	65	107
38	67	105
39	68	103
40	70	101
41	72	100
42	74	98
43	75	96
44	77	94
45	79	92
46	80	90
47	82	88
48	83	87
49	85	85
50	86	83
51	88	81
52	90	80
53	92	78
54	93	76
55	95	74
56	96	73
57	98	71
58	100	69
59	101	67
60	103	66
61	105	64
62	107	63
63	108	61
64	110	59
65	112	58
66	114	56
67	115	54
68	117	52
69	119	51
70	121	49
71	122	47
72	124	46
73	126	44
74	128	42
75	129	40
76	130	39
77	132	37
78	133	35
79	134	33
80	136	32
81	138	30
82	140	28
83	141	26
84	143	25
85	144	23
86	146	21
87	148	20
88	149	18
89	151	16
90	153	15
91	155	13
92	157	11
93	158	10
94	160	8
95	161	6
96	163	5
97	165	3
98	167	1
99	168	0
